"user_id","payment_month","first_payment_month","last_payment_month","new_paid_users","churned_users","total_revenue","revenue_metrics","users_metrics","new_mrr","churned_revenue","back_from_churn_revenue","back_from_churn_users","exprension_mrr","contraction_mrr","game_name","language","has_older_device_model","language"
"0A5RkQrm+GBgG7KSFk/xhw==",2022-11-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"0A5RkQrm+GBgG7KSFk/xhw==",72.93,churned revenue,churned_users,,72.93,,,37.20,,game 3,uk,false,uk
"0afix9qVNfU3GJY1n0QGkw==",2022-09-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,"0afix9qVNfU3GJY1n0QGkw==",,32.28,new mrr,new_paid_users,32.28,,,,,,game 3,uk,false,uk
"0afix9qVNfU3GJY1n0QGkw==",2022-10-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,"0afix9qVNfU3GJY1n0QGkw==",13.23,churned revenue,churned_users,,13.23,,,,-19.05,game 3,uk,false,uk
"0dJXy70SFjxVR6YgOPZzMQ==",2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,"0dJXy70SFjxVR6YgOPZzMQ==","0dJXy70SFjxVR6YgOPZzMQ==",17.19,new mrr,new_paid_users,17.19,17.19,,,,,game 3,uk,false,uk
"14RMzQMoG017OLkaDBFjng==",2022-07-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"14RMzQMoG017OLkaDBFjng==","14RMzQMoG017OLkaDBFjng==",14.43,new mrr,new_paid_users,14.43,14.43,,,,,game 3,uk,false,uk
"14RMzQMoG017OLkaDBFjng==",2022-11-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"14RMzQMoG017OLkaDBFjng==",12.75,churned revenue,churned_users,,12.75,12.75,"14RMzQMoG017OLkaDBFjng==",,,game 3,uk,false,uk
"1BBMagZRq/39AV1l2rm4Iw==",2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"1BBMagZRq/39AV1l2rm4Iw==",,89.04,new mrr,new_paid_users,89.04,,,,,,game 3,ru,false,ru
"1BBMagZRq/39AV1l2rm4Iw==",2022-09-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,34.8,contraction_mr,,,,,,,-54.24,game 3,ru,false,ru
"1BBMagZRq/39AV1l2rm4Iw==",2022-10-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,55.80,exprension_mrr,,,,,,21.00,,game 3,ru,false,ru
"1BBMagZRq/39AV1l2rm4Iw==",2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"1BBMagZRq/39AV1l2rm4Iw==",148.14,churned revenue,churned_users,,148.14,,,92.34,,game 3,ru,false,ru
"1dvc3uv3gFy83YY5oJeFkQ==",2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,"1dvc3uv3gFy83YY5oJeFkQ==","1dvc3uv3gFy83YY5oJeFkQ==",45.93,new mrr,new_paid_users,45.93,45.93,,,,,game 3,uk,false,uk
"1jx1AjqUwE9sbCyafQnUNQ==",2022-06-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"1jx1AjqUwE9sbCyafQnUNQ==",,56.13,new mrr,new_paid_users,56.13,,,,,,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-07-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,16.29,contraction_mr,,,,,,,-39.84,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-08-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,21.18,exprension_mrr,,,,,,4.89,,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-09-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,13.71,contraction_mr,,,,,,,-7.47,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-10-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,46.98,exprension_mrr,,,,,,33.27,,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-11-01 00:00:00.000 +0200,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,20.13,contraction_mr,,,,,,,-26.85,game 3,ru,false,ru
"1jx1AjqUwE9sbCyafQnUNQ==",2022-12-01 00:00:00.000 +0200,2022-06-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"1jx1AjqUwE9sbCyafQnUNQ==",38.37,churned revenue,churned_users,,38.37,,,18.24,,game 3,ru,false,ru
"1KzlDBp5hORL7Y5PBaB+0g==",2022-09-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"1KzlDBp5hORL7Y5PBaB+0g==",,58.20,new mrr,new_paid_users,58.20,,,,,,game 3,uk,false,uk
"1KzlDBp5hORL7Y5PBaB+0g==",2022-10-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,77.19,exprension_mrr,,,,,,18.99,,game 3,uk,false,uk
"1KzlDBp5hORL7Y5PBaB+0g==",2022-11-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,63.27,contraction_mr,,,,,,,-13.92,game 3,uk,false,uk
"1KzlDBp5hORL7Y5PBaB+0g==",2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"1KzlDBp5hORL7Y5PBaB+0g==",21.72,churned revenue,churned_users,,21.72,,,,-41.55,game 3,uk,false,uk
"1tIsLi6U0zW1RIuaViNanA==",2022-09-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"1tIsLi6U0zW1RIuaViNanA==",,33.36,new mrr,new_paid_users,33.36,,,,,,game 3,uk,false,uk
"1tIsLi6U0zW1RIuaViNanA==",2022-10-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,29.25,contraction_mr,,,,,,,-4.11,game 3,uk,false,uk
"1tIsLi6U0zW1RIuaViNanA==",2022-11-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,18.15,contraction_mr,,,,,,,-11.10,game 3,uk,false,uk
"1tIsLi6U0zW1RIuaViNanA==",2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"1tIsLi6U0zW1RIuaViNanA==",69.48,churned revenue,churned_users,,69.48,,,51.33,,game 3,uk,false,uk
"29qvbD06oXdmg5G7X/Wigw==",2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,"29qvbD06oXdmg5G7X/Wigw==","29qvbD06oXdmg5G7X/Wigw==",24.51,new mrr,new_paid_users,24.51,24.51,,,,,game 3,uk,false,uk
"2be8IOVjt9pzDDEVqZwIKQ==",2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"2be8IOVjt9pzDDEVqZwIKQ==","2be8IOVjt9pzDDEVqZwIKQ==",27.0,new mrr,new_paid_users,27.0,27.0,,,,,game 3,ru,false,ru
"2be8IOVjt9pzDDEVqZwIKQ==",2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"2be8IOVjt9pzDDEVqZwIKQ==",69.96,churned revenue,churned_users,,69.96,69.96,"2be8IOVjt9pzDDEVqZwIKQ==",,,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-04-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"2FYEYdoJMUOtbJ6TruruWA==",,56.85,new mrr,new_paid_users,56.85,,,,,,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-05-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,30.33,contraction_mr,,,,,,,-26.52,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-06-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,22.47,contraction_mr,,,,,,,-7.86,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-07-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,24.84,exprension_mrr,,,,,,2.37,,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-08-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"2FYEYdoJMUOtbJ6TruruWA==",14.19,churned revenue,churned_users,,14.19,,,,-10.65,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-10-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,42.84,,back_from_churn_users,,,42.84,"2FYEYdoJMUOtbJ6TruruWA==",,,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-11-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,29.13,contraction_mr,,,,,,,-13.71,game 3,ru,false,ru
"2FYEYdoJMUOtbJ6TruruWA==",2022-12-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"2FYEYdoJMUOtbJ6TruruWA==",14.13,churned revenue,churned_users,,14.13,,,,-15.00,game 3,ru,false,ru
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-09-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"2KL9Q4TKLCcD4cngwhx6Dg==",,14.04,new mrr,new_paid_users,14.04,,,,,,game 3,ru,false,ru
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-10-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,56.04,exprension_mrr,,,,,,42.00,,game 3,ru,false,ru
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-11-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"2KL9Q4TKLCcD4cngwhx6Dg==",24.84,churned revenue,churned_users,,24.84,,,,-31.20,game 3,ru,false,ru
"2onLVyXEEj2aH+D4N9ldYQ==",2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"2onLVyXEEj2aH+D4N9ldYQ==","2onLVyXEEj2aH+D4N9ldYQ==",50.04,new mrr,new_paid_users,50.04,50.04,,,,,game 3,uk,false,uk
"2onLVyXEEj2aH+D4N9ldYQ==",2022-10-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,42.72,,back_from_churn_users,,,42.72,"2onLVyXEEj2aH+D4N9ldYQ==",,,game 3,uk,false,uk
"2onLVyXEEj2aH+D4N9ldYQ==",2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,22.68,contraction_mr,,,,,,,-20.04,game 3,uk,false,uk
"2onLVyXEEj2aH+D4N9ldYQ==",2022-12-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"2onLVyXEEj2aH+D4N9ldYQ==",106.38,churned revenue,churned_users,,106.38,,,83.70,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"2Tm77AxZ7h7oCNKgCgMpnQ==",,54.96,new mrr,new_paid_users,54.96,,,,,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-05-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,72.06,exprension_mrr,,,,,,17.10,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-06-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,25.35,contraction_mr,,,,,,,-46.71,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-07-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"2Tm77AxZ7h7oCNKgCgMpnQ==",38.10,churned revenue,churned_users,,38.10,,,12.75,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-09-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,12.12,,back_from_churn_users,,,12.12,"2Tm77AxZ7h7oCNKgCgMpnQ==",,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-10-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,21.87,exprension_mrr,,,,,,9.75,,game 3,uk,false,uk
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-11-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"2Tm77AxZ7h7oCNKgCgMpnQ==",15.99,churned revenue,churned_users,,15.99,,,,-5.88,game 3,uk,false,uk
"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01 00:00:00.000 +0200,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,"3iITAz/ADjFv3PDTgTjxSg==",,23.76,new mrr,new_paid_users,23.76,,,,,,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,,81.42,exprension_mrr,,,,,,57.66,,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-05-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,,15.69,contraction_mr,,,,,,,-65.73,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-06-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,,34.35,exprension_mrr,,,,,,18.66,,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-07-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,,50.58,exprension_mrr,,,,,,16.23,,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-08-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,,97.08,exprension_mrr,,,,,,46.50,,game 3,ru,false,ru
"3iITAz/ADjFv3PDTgTjxSg==",2022-09-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,,"3iITAz/ADjFv3PDTgTjxSg==",18.72,churned revenue,churned_users,,18.72,,,,-78.36,game 3,ru,false,ru
"3KHhqZr7/1n2+bTP13WuXA==",2022-06-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,"3KHhqZr7/1n2+bTP13WuXA==","3KHhqZr7/1n2+bTP13WuXA==",74.85,new mrr,new_paid_users,74.85,74.85,,,,,game 3,uk,false,uk
"3KHhqZr7/1n2+bTP13WuXA==",2022-08-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,,20.19,,back_from_churn_users,,,20.19,"3KHhqZr7/1n2+bTP13WuXA==",,,game 3,uk,false,uk
"3KHhqZr7/1n2+bTP13WuXA==",2022-09-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,,48.27,exprension_mrr,,,,,,28.08,,game 3,uk,false,uk
"3KHhqZr7/1n2+bTP13WuXA==",2022-10-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,"3KHhqZr7/1n2+bTP13WuXA==",29.22,churned revenue,churned_users,,29.22,,,,-19.05,game 3,uk,false,uk
"3KSfEl7FcP/+5FSUNXs5Aw==",2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,"3KSfEl7FcP/+5FSUNXs5Aw==","3KSfEl7FcP/+5FSUNXs5Aw==",23.31,new mrr,new_paid_users,23.31,23.31,,,,,game 3,ru,false,ru
"3OXz+Ar2gN+zfGLZTRCVMQ==",2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,"3OXz+Ar2gN+zfGLZTRCVMQ==","3OXz+Ar2gN+zfGLZTRCVMQ==",18.9,new mrr,new_paid_users,18.9,18.9,,,,,game 3,uk,false,uk
"3rCdNEPkh3vwmYB0BVadEw==",2022-05-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,"3rCdNEPkh3vwmYB0BVadEw==","3rCdNEPkh3vwmYB0BVadEw==",22.86,new mrr,new_paid_users,22.86,22.86,,,,,game 3,ru,false,ru
"3rCdNEPkh3vwmYB0BVadEw==",2022-07-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,,,21.87,,back_from_churn_users,,,21.87,"3rCdNEPkh3vwmYB0BVadEw==",,,game 3,ru,false,ru
"3rCdNEPkh3vwmYB0BVadEw==",2022-08-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,,"3rCdNEPkh3vwmYB0BVadEw==",17.34,churned revenue,churned_users,,17.34,,,,-4.53,game 3,ru,false,ru
"3TfpxDVNF0T+g4S60EOCBw==",2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,"3TfpxDVNF0T+g4S60EOCBw==","3TfpxDVNF0T+g4S60EOCBw==",15.27,new mrr,new_paid_users,15.27,15.27,,,,,game 3,uk,false,uk
"3v8rT35Ra6ui/zatnMoTIw==",2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,"3v8rT35Ra6ui/zatnMoTIw==",,17.85,new mrr,new_paid_users,17.85,,,,,,game 3,uk,false,uk
"3v8rT35Ra6ui/zatnMoTIw==",2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,,"3v8rT35Ra6ui/zatnMoTIw==",43.62,churned revenue,churned_users,,43.62,,,25.77,,game 3,uk,false,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,"3Whh6FLR1MSfsuHKVdCEYQ==",,59.67,new mrr,new_paid_users,59.67,,,,,,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-05-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,12.36,contraction_mr,,,,,,,-47.31,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-06-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,20.13,exprension_mrr,,,,,,7.77,,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-07-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,15.78,contraction_mr,,,,,,,-4.35,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-08-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,,17.16,exprension_mrr,,,,,,1.38,,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-09-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"3Whh6FLR1MSfsuHKVdCEYQ==",19.74,churned revenue,churned_users,,19.74,,,2.58,,game 3,uk,true,uk
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-12-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,,"3Whh6FLR1MSfsuHKVdCEYQ==",26.73,churned revenue,churned_users,,26.73,26.73,"3Whh6FLR1MSfsuHKVdCEYQ==",,,game 3,uk,true,uk
"3Xuq0acIoGEgw19qflIoog==",2022-06-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,"3Xuq0acIoGEgw19qflIoog==",,12.69,new mrr,new_paid_users,12.69,,,,,,game 3,uk,false,uk
"3Xuq0acIoGEgw19qflIoog==",2022-07-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,,41.73,exprension_mrr,,,,,,29.04,,game 3,uk,false,uk
"3Xuq0acIoGEgw19qflIoog==",2022-08-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,,19.86,contraction_mr,,,,,,,-21.87,game 3,uk,false,uk
"3Xuq0acIoGEgw19qflIoog==",2022-09-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,,34.32,exprension_mrr,,,,,,14.46,,game 3,uk,false,uk
"3Xuq0acIoGEgw19qflIoog==",2022-10-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,,"3Xuq0acIoGEgw19qflIoog==",30.9,churned revenue,churned_users,,30.9,,,,-3.42,game 3,uk,false,uk
"4b7l8C489HEJirtoe7xtFg==",2022-03-01 00:00:00.000 +0200,2022-03-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,"4b7l8C489HEJirtoe7xtFg==",,27.15,new mrr,new_paid_users,27.15,,,,,,game 3,uk,true,uk
"4b7l8C489HEJirtoe7xtFg==",2022-04-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,,,14.94,contraction_mr,,,,,,,-12.21,game 3,uk,true,uk
"4b7l8C489HEJirtoe7xtFg==",2022-05-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,,,26.40,exprension_mrr,,,,,,11.46,,game 3,uk,true,uk
"4b7l8C489HEJirtoe7xtFg==",2022-06-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,,,22.83,contraction_mr,,,,,,,-3.57,game 3,uk,true,uk
"4b7l8C489HEJirtoe7xtFg==",2022-07-01 00:00:00.000 +0300,2022-03-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,,,89.28,exprension_mrr,,,,,,66.45,,game 3,uk,true,uk
